ime_poti,cas_poti,tezavnost_poti,vrh
Sviščaki - Snežnik (peš pot),120,lahka označena pot,Snežnik
Kapetanova bajta - Snežnik,55,lahka označena pot,Snežnik
Leskova dolina - Snežnik,195,lahka označena pot,Snežnik
Snežniška Grda jama - Snežnik (čez Mali Snežnik),85,lahka označena pot,Snežnik
Gašperjev hrib - Snežnik,90,lahka označena pot,Snežnik
 Sviščaki - Snežnik (čez Mali Snežnik),135,lahka označena pot,Snežnik
Sežanje - Snežnik,100,lahka označena pot,Snežnik
Grda draga - Snežnik (čez Mali Snežnik),115,lahka označena pot,Snežnik
Sviščaki - Snežnik (po cesti),115,lahka označena pot,Snežnik
Mašun - Snežnik,240,lahka označena pot,Snežnik
Snežniška Grda jama - Mali Snežnik,60,lahka označena pot,Mali Snežnik
 Sviščaki - Mali Snežnik,110,lahka označena pot,Mali Snežnik
Grda draga - Mali Snežnik,90,lahka označena pot,Mali Snežnik
Mašun - Mali Snežnik,215,lahka označena pot,Mali Snežnik
Predmeja - Mali Golak,120,lahka označena pot,Mali Golak
Mala Lazna - Mali Golak,85,lahka označena pot,Mali Golak
Preval Strgarija - Mali Golak,45,lahka označena pot,Mali Golak
Kozarnice - Mali Golak,65,lahka označena pot,Mali Golak
Škrbina - Mali Golak,120,lahka označena pot,Mali Golak
Kozarnice - Srednji Golak (čez Mali Golak),110,lahka označena pot,Srednji Golak
Škrbina - Srednji Golak,75,lahka označena pot,Srednji Golak
Kozarnice - Srednji Golak (neoznačena vzhodna pot),105,lahka neoznačena steza,Srednji Golak
Turški klanec - Mrzovec,90,lahka označena pot,Mrzovec
Mala Lazna - Mrzovec (po cesti),150,lahka neoznačena steza,Mrzovec
Nemci - Mrzovec,160,lahka neoznačena steza,Mrzovec
Predmeja - Veliki Modrasovec (po cesti),80,lahka označena pot,Veliki Modrasovec
 Predmeja - Veliki Modrasovec,95,lahka označena pot,Veliki Modrasovec
Lokavec - Veliki Modrasovec,170,lahka označena pot,Veliki Modrasovec
Predmeja (tuneli) - Veliki Modrasovec,110,lahka označena pot,Veliki Modrasovec
Kamnje - Veliki Modrasovec,170,lahka označena pot,Veliki Modrasovec
Vrtovin - Veliki Modrasovec,185,lahka označena pot,Veliki Modrasovec
Stomaž - Veliki Modrasovec,155,lahka označena pot,Veliki Modrasovec
Razdrto - Suhi vrh (Nanos) (strma pot),205,delno zahtevna označena pot,Suhi vrh (Nanos)
 Strane - Suhi vrh (Nanos) (položna pot),150,lahka označena pot,Suhi vrh (Nanos)
Strane - Suhi vrh (Nanos) (strma pot),135,lahka označena pot,Suhi vrh (Nanos)
